,target,face_width,face_height,chin_width,chin_height,right_Eyebrow_width,right_Eyebrow_height,left_Eyebrow_width,left_Eyebrow_height,nose_width,nose_height,right_Eye_width,right_Eye_height,left_Eye_width,left_Eye_height,mouse_width,mouse_height
39,4,190,181,181,114,56,26,59,8,30,54,34,9,34,9,76,45
40,5,138,134,134,98,46,15,40,6,27,48,23,6,23,6,49,21
41,5,140,136,136,98,48,19,47,6,29,45,23,4,23,4,51,23
42,5,136,135,135,98,47,16,46,5,27,44,25,8,25,8,49,22
43,5,134,131,131,100,46,15,39,6,25,45,25,7,23,7,45,19
44,5,144,136,136,104,50,19,47,6,28,50,25,7,25,7,48,17
45,5,142,136,136,103,49,18,45,6,26,48,26,8,25,8,47,18
46,5,140,135,135,102,48,19,47,6,27,49,25,8,24,9,48,16
47,5,140,137,137,104,50,17,47,6,27,48,25,7,24,7,48,21
48,5,138,134,134,108,49,13,42,6,27,49,25,5,24,6,47,19
49,5,136,133,133,104,45,14,42,7,29,47,24,6,23,6,48,18
50,6,123,135,135,102,42,11,48,3,28,49,22,5,23,5,45,13
51,6,121,137,137,103,49,11,51,5,27,49,23,5,23,6,44,14
52,6,118,131,131,96,45,11,45,4,27,48,22,5,22,6,43,13
53,6,128,137,137,105,42,9,47,5,29,46,23,2,24,4,55,20
54,6,126,135,135,105,39,10,52,8,26,48,22,4,25,5,45,17
55,6,147,135,135,128,45,14,52,5,28,53,23,4,24,5,48,24
56,6,117,136,136,101,44,7,49,2,28,47,22,5,24,5,47,16
57,6,112,133,133,96,41,5,46,3,27,45,21,4,21,4,44,10
58,6,130,139,139,110,47,12,52,3,30,52,23,5,25,6,45,20
59,6,138,133,133,119,49,13,53,4,32,52,22,4,24,5,43,13
60,7,113,111,111,87,36,9,37,3,21,38,21,8,20,8,42,16
61,7,119,114,114,93,38,13,39,4,23,37,22,7,22,7,39,22
62,7,96,95,95,77,31,9,33,3,18,31,18,8,18,7,30,18
63,7,125,117,117,93,39,15,38,5,24,39,23,7,22,7,39,22
64,7,112,110,110,87,35,12,37,4,22,36,19,7,19,7,41,17
65,7,116,113,113,90,36,12,37,4,22,36,20,8,21,7,40,19
66,7,116,113,113,92,37,10,39,4,22,38,21,9,20,7,41,19
67,7,107,104,104,81,36,11,33,4,21,32,20,7,20,7,38,17
68,7,108,108,108,85,34,10,35,4,22,33,20,7,20,7,37,17
69,7,100,101,101,81,37,10,32,4,21,35,20,7,19,6,37,13
70,8,122,122,122,106,45,6,35,4,25,42,24,6,22,6,47,18
71,8,124,130,130,103,43,9,43,6,26,43,23,4,23,4,55,21
72,8,128,130,130,115,44,6,40,7,25,45,25,7,24,7,48,20
73,8,127,129,129,109,45,8,41,5,26,44,26,7,24,6,49,20
74,8,131,129,129,107,46,8,43,5,26,43,25,8,25,8,47,25
75,8,133,134,134,109,46,9,43,5,25,43,24,7,25,7,50,23
76,8,128,129,129,108,47,8,41,5,28,44,26,7,25,7,50,18
77,8,130,139,139,120,49,6,36,12,27,50,27,7,24,6,50,18
78,8,130,134,134,110,48,8,42,6,26,46,25,6,25,6,49,18
79,8,130,135,135,112,46,8,43,6,27,46,25,6,25,6,50,19
80,9,97,97,97,80,34,9,33,4,20,34,19,6,19,7,37,20
81,9,101,102,102,84,34,9,32,6,20,36,20,6,20,7,35,19
82,9,101,99,99,80,34,10,33,4,20,34,19,6,19,7,36,21
83,9,100,99,99,81,32,9,33,4,20,33,19,6,19,7,37,21
84,9,99,100,100,81,34,8,33,5,20,34,19,6,19,6,35,21
85,9,96,99,99,78,32,9,33,5,20,34,19,5,20,6,35,16
86,9,98,97,97,78,31,9,32,5,19,32,18,5,18,6,35,20
87,9,95,98,98,78,32,7,32,5,19,34,19,7,19,7,35,15
88,9,95,99,99,79,33,8,32,5,20,34,19,7,19,7,34,17
89,9,96,97,97,78,32,8,29,3,20,33,18,5,18,6,37,15
90,10,110,108,108,85,40,10,37,4,20,40,21,7,21,8,39,15
91,10,115,113,113,94,42,9,38,4,19,41,22,8,21,7,33,20
92,10,116,113,113,96,42,11,39,4,21,44,22,8,22,8,31,16
93,10,119,113,113,96,42,11,39,5,19,43,20,6,20,6,32,22
94,10,115,110,110,92,41,10,36,4,18,41,21,8,21,8,31,21
95,10,116,112,112,95,40,10,37,4,19,41,20,8,20,7,33,20
96,10,112,107,107,90,40,9,35,4,18,39,19,7,19,8,29,22
