,target,face_height,chin_width,chin_height,right_Eyebrow_width,right_Eyebrow_height,left_Eyebrow_width,left_Eyebrow_height,nose_width,nose_height,right_Eye_width,right_Eye_height,left_Eye_width,left_Eye_height,mouse_width,mouse_height
36,4,0.9943502824858758,0.9943502824858758,0.5706214689265536,0.3107344632768362,0.15254237288135594,0.327683615819209,0.03954802259887006,0.1694915254237288,0.288135593220339,0.1864406779661017,0.05649717514124294,0.1864406779661017,0.05084745762711865,0.423728813559322,0.2033898305084746
37,4,0.9836065573770492,0.9836065573770492,0.6010928961748634,0.29508196721311475,0.14207650273224043,0.31693989071038253,0.03825136612021858,0.16939890710382513,0.2786885245901639,0.18579234972677597,0.0546448087431694,0.18579234972677597,0.0546448087431694,0.40437158469945356,0.23497267759562843
38,4,0.967032967032967,0.967032967032967,0.5769230769230769,0.2967032967032967,0.14835164835164835,0.31868131868131866,0.04395604395604396,0.15934065934065933,0.29120879120879123,0.1813186813186813,0.054945054945054944,0.18681318681318682,0.04945054945054945,0.3956043956043956,0.23626373626373626
39,4,0.9526315789473684,0.9526315789473684,0.6,0.29473684210526313,0.1368421052631579,0.3105263157894737,0.042105263157894736,0.15789473684210525,0.28421052631578947,0.17894736842105263,0.04736842105263158,0.17894736842105263,0.04736842105263158,0.4,0.23684210526315788
40,5,0.9710144927536232,0.9710144927536232,0.7101449275362319,0.3333333333333333,0.10869565217391304,0.2898550724637681,0.043478260869565216,0.1956521739130435,0.34782608695652173,0.16666666666666666,0.043478260869565216,0.16666666666666666,0.043478260869565216,0.35507246376811596,0.15217391304347827
41,5,0.9714285714285714,0.9714285714285714,0.7,0.34285714285714286,0.1357142857142857,0.3357142857142857,0.04285714285714286,0.20714285714285716,0.32142857142857145,0.16428571428571428,0.02857142857142857,0.16428571428571428,0.02857142857142857,0.36428571428571427,0.16428571428571428
42,5,0.9926470588235294,0.9926470588235294,0.7205882352941176,0.34558823529411764,0.11764705882352941,0.3382352941176471,0.03676470588235294,0.19852941176470587,0.3235294117647059,0.18382352941176472,0.058823529411764705,0.18382352941176472,0.058823529411764705,0.3602941176470588,0.16176470588235295
43,5,0.9776119402985075,0.9776119402985075,0.746268656716418,0.34328358208955223,0.11194029850746269,0.291044776119403,0.04477611940298507,0.1865671641791045,0.3358208955223881,0.1865671641791045,0.05223880597014925,0.17164179104477612,0.05223880597014925,0.3358208955223881,0.1417910447761194
44,5,0.9444444444444444,0.9444444444444444,0.7222222222222222,0.3472222222222222,0.13194444444444445,0.3263888888888889,0.041666666666666664,0.19444444444444445,0.3472222222222222,0.1736111111111111,0.04861111111111111,0.1736111111111111,0.04861111111111111,0.3333333333333333,0.11805555555555555
45,5,0.9577464788732394,0.9577464788732394,0.7253521126760564,0.34507042253521125,0.1267605633802817,0.31690140845070425,0.04225352112676056,0.18309859154929578,0.3380281690140845,0.18309859154929578,0.056338028169014086,0.176056338028169,0.056338028169014086,0.33098591549295775,0.1267605633802817
